Transaction Date,Buyer First Name,Buyer Last Name,Gender,Buyer Location,Buyer Date of Birth,Payment Method,Quantity Purchased,Product Code,Sales Representative
6/30/2024,R.,Hernandez,Other,San Antonio,3/21/1954,Cash,40,Pro08,Susan Dean
7/19/2024,Alexander,Smith,Other,San Jose,1/6/1993,Debit Card,177,Pro10,Susan Dean
2/17/2024,Mary,Rodriguez,Female,Philadelphia,9/4/1946,Debit Card,229,Pro03,Sara R.son
4/9/2024,Michelle,Gonzales,Other,Philadelphia,9/26/1972,Mobile Payment,350,Pro07,Katie Stanton
5/7/2024,Stephen,Ellis,Male,Houston,10/11/1954,Credit Card,182,Pro10,Susan Dean
5/20/2024,R.,Hernandez,Other,San Antonio,9/14/2002,Credit Card,174,Pro01,Katie Stanton
1/2/2024,Alexander,Smith,Male,San Jose,9/26/1987,Cash,428,Pro04,Susan Dean
6/12/2024,Mary,Rodriguez,Other,Philadelphia,8/22/1989,Debit Card,383,Pro01,April Watkins
4/11/2024,Jason,Wilson,Male,Houston,9/23/1957,Mobile Payment,425,Pro03,April Watkins
4/13/2024,Terri,Bailey,Other,Philadelphia,12/18/1964,Debit Card,205,Pro07,Elizabeth Guerrero
4/30/2024,R.,Hernandez,Male,San Antonio,12/13/1981,Credit Card,434,Pro08,Tracy Lee
6/23/2024,Alexander,Smith,Other,San Jose,12/8/1959,Cash,384,Pro02,Sara R.son
1/24/2024,Mary,Rodriguez,Female,Philadelphia,5/23/1998,Cash,337,Pro04,Katie Stanton
4/13/2024,April,Mendez,Other,Los Angeles,7/22/2006,Debit Card,197,Pro02,Susan Dean
7/27/2024,Dennis,Norris,Male,New York,1/31/1973,Cash,410,Pro07,Katie Stanton
5/2/2024,Andrea,Davis,Other,Dallas,8/4/1985,Mobile Payment,376,Pro10,Susan Dean
6/19/2024,Teresa,Coleman,Other,New York,4/14/1952,Mobile Payment,370,Pro02,Susan Dean
6/5/2024,Justin,Sanchez,Male,Dallas,11/7/1954,Debit Card,494,Pro08,Sara R.son
3/20/2024,Sean,Garcia,Other,San Jose,9/18/1998,Debit Card,385,Pro04,Katie Stanton
2/25/2024,Erica,Collins,Male,Dallas,9/23/1958,Cash,276,Pro03,Susan Dean
4/7/2024,Joseph,Perez,Other,Phoenix,9/24/1984,Debit Card,205,Pro04,Katie Stanton
7/31/2024,Monica,Hogan,Male,Chicago,4/6/1989,Cash,212,Pro03,Susan Dean
1/22/2024,Wendy,Olsen,Other,Los Angeles,1/19/1972,Mobile Payment,381,Pro09,April Watkins
2/11/2024,Kathy,Morris,Male,Los Angeles,9/25/2003,Mobile Payment,242,Pro08,April Watkins
4/16/2024,Mario,Rubio,Other,San Jose,2/13/1989,Credit Card,88,Pro04,Elizabeth Guerrero
2/26/2024,Julie,Ortiz,Male,San Antonio,2/25/1978,Mobile Payment,432,Pro10,Tracy Lee
2/10/2024,Nancy,Lee,Other,San Jose,5/31/1947,Debit Card,484,Pro10,Sara R.son
7/18/2024,Christopher,Martin,Male,Phoenix,10/28/1971,Mobile Payment,412,Pro08,Katie Stanton
4/5/2024,Nathan,Williams,Other,San Jose,4/8/1957,Credit Card,426,Pro02,Susan Dean
5/18/2024,Donna,Jacobs,Male,Chicago,3/18/1956,Cash,280,Pro09,Katie Stanton
4/7/2024,Sherri,Watts,Other,San Diego,8/15/1964,Mobile Payment,351,Pro01,Susan Dean
1/15/2024,Brandon,Clark,Male,San Jose,9/3/1969,Mobile Payment,121,Pro05,Susan Dean
6/21/2024,Michael,Oneill,Other,Los Angeles,8/7/1991,Mobile Payment,267,Pro04,Sara R.son
7/31/2024,Hannah,Gonzalez,Other,Philadelphia,12/27/1974,Debit Card,407,Pro04,Katie Stanton
3/20/2024,Joan,Hodges,Male,San Diego,9/23/1966,Credit Card,66,Pro08,Susan Dean
3/10/2024,Ryan,Gonzales,Other,Houston,1/28/1986,Credit Card,500,Pro10,Katie Stanton
4/6/2024,David,Romero,Other,Los Angeles,4/28/1955,Debit Card,373,Pro09,Susan Dean
5/4/2024,Shannon,Butler,Male,New York,12/5/2002,Debit Card,397,Pro02,April Watkins
4/15/2024,Theodore,Peterson,Other,Los Angeles,7/12/1969,Cash,478,Pro02,April Watkins
2/20/2024,Kathryn,Smith,Male,Philadelphia,10/3/1961,Cash,428,Pro08,Elizabeth Guerrero
7/28/2024,Marissa,Torres,Other,Phoenix,12/26/1972,Debit Card,60,Pro10,Tracy Lee
7/26/2024,Elizabeth,Nicholson,Female,Houston,8/10/1969,Cash,400,Pro08,Sara R.son
7/30/2024,Edward,R.s,Other,Philadelphia,8/28/1965,Mobile Payment,395,Pro02,Katie Stanton
6/4/2024,Matthew,Franklin,Male,Chicago,7/11/1949,Debit Card,500,Pro02,Susan Dean
1/15/2024,Lindsey,Oconnell,Other,San Antonio,8/11/1960,Mobile Payment,70,Pro08,Katie Stanton
1/26/2024,Kayla,Hall,Male,Dallas,10/19/1992,Cash,271,Pro08,Susan Dean
4/28/2024,Virginia,Bean,Other,San Diego,9/16/2001,Debit Card,372,Pro09,Susan Dean
7/9/2024,Emily,Smith,Male,Los Angeles,9/22/1958,Debit Card,46,Pro02,Sara R.son
1/24/2024,Beth,Kennedy,Other,Dallas,1/30/1999,Mobile Payment,150,Pro03,Katie Stanton
4/19/2024,Cameron,Berger,Male,San Jose,4/10/2003,Mobile Payment,242,Pro08,Susan Dean
5/26/2024,Randy,Foster,Other,San Jose,10/22/2000,Credit Card,437,Pro07,Katie Stanton
5/15/2024,Kayla,James,Male,Phoenix,5/11/1989,Debit Card,35,Pro09,Susan Dean
2/6/2024,Marcia,Johnson,Other,San Antonio,5/17/1979,Cash,364,Pro03,April Watkins
7/3/2024,Tracy,Calderon,Male,Los Angeles,5/4/1975,Debit Card,47,Pro09,April Watkins
6/4/2024,Martin,Martin,Other,Los Angeles,4/9/1968,Credit Card,56,Pro04,Elizabeth Guerrero
2/1/2024,Judy,Anderson,Male,San Antonio,6/11/2005,Credit Card,116,Pro07,Tracy Lee
4/6/2024,Nicolas,Werner,Other,Phoenix,12/29/1957,Cash,143,Pro05,Sara R.son
4/18/2024,Steven,Anderson,Male,San Diego,3/10/1955,Credit Card,216,Pro05,Katie Stanton
4/23/2024,Timothy,Jones,Other,Houston,2/18/1963,Cash,391,Pro03,Susan Dean
1/17/2024,Scott,Day,Male,New York,7/11/1973,Debit Card,36,Pro05,Katie Stanton
6/28/2024,Wesley,Horne,Male,Phoenix,4/8/1949,Debit Card,161,Pro09,Susan Dean
1/28/2024,Patricia,Reed,Male,Houston,12/13/1996,Debit Card,481,Pro05,Susan Dean
3/24/2024,Willie,R.son,Male,San Diego,11/14/1949,Debit Card,495,Pro09,Sara R.son
2/11/2024,Jason,Murray,Male,San Diego,11/18/1988,Credit Card,81,Pro01,Katie Stanton
4/1/2024,Rodney,Diaz,Male,Los Angeles,11/9/1992,Debit Card,116,Pro01,Susan Dean
1/9/2024,Emily,Bird,Male,Chicago,8/2/1956,Mobile Payment,94,Pro02,Katie Stanton
5/14/2024,Timothy,Pitts,Male,San Diego,4/18/1983,Credit Card,401,Pro07,Susan Dean
4/10/2024,Marcus,Dickson,Male,Los Angeles,4/18/1945,Debit Card,308,Pro09,April Watkins
4/6/2024,Beth,Parrish,Male,San Diego,1/18/1973,Mobile Payment,405,Pro02,April Watkins
1/27/2024,Marvin,Rivera,Male,San Jose,2/10/1958,Debit Card,221,Pro10,Elizabeth Guerrero
4/9/2024,R.,Cooke,Male,Philadelphia,4/28/1947,Credit Card,326,Pro01,Tracy Lee
1/18/2024,R.,Padilla,Male,Philadelphia,12/3/1974,Credit Card,472,Pro07,Sara R.son
1/31/2024,Jeremy,Rios,Male,Dallas,5/11/1961,Mobile Payment,216,Pro09,Katie Stanton
5/26/2024,Zachary,Reed,Male,San Antonio,3/5/1986,Credit Card,178,Pro06,Susan Dean
5/6/2024,Joseph,Woodward,Male,San Diego,7/21/1984,Credit Card,72,Pro05,Katie Stanton
7/29/2024,Sharon,Yates,Male,Philadelphia,11/24/1987,Credit Card,486,Pro10,Susan Dean
2/7/2024,Melissa,Curtis,Male,Houston,6/5/1994,Credit Card,292,Pro10,Susan Dean
6/30/2024,Jacob,Kelly,Male,New York,6/23/1991,Mobile Payment,313,Pro08,Sara R.son
1/5/2024,Mark,Williams,Male,Phoenix,9/19/1985,Debit Card,224,Pro04,Katie Stanton
1/31/2024,David,Gray,Male,Phoenix,10/31/2004,Mobile Payment,340,Pro09,Susan Dean
6/10/2024,Roger,Rodriguez,Male,Dallas,10/11/1993,Debit Card,283,Pro04,Katie Stanton
1/30/2024,Stephen,Mason,Male,Los Angeles,8/19/1972,Mobile Payment,59,Pro05,Susan Dean
1/30/2024,Brett,Johnson,Male,San Diego,9/27/1974,Mobile Payment,258,Pro08,April Watkins
3/17/2024,Michael,Hernandez,Male,Dallas,4/25/1990,Debit Card,473,Pro07,April Watkins
6/3/2024,Donna,Bailey,Male,New York,4/21/1968,Cash,332,Pro03,Elizabeth Guerrero
1/26/2024,Jennifer,Rodriguez,Female,New York,7/1/1989,Credit Card,274,Pro02,Tracy Lee
6/17/2024,Tammy,Shannon,Male,Philadelphia,10/29/2003,Cash,113,Pro02,Sara R.son
5/27/2024,James,Nichols,Male,Philadelphia,9/18/1943,Cash,464,Pro10,Katie Stanton
7/2/2024,Juan,Porter,Male,Chicago,4/18/1991,Mobile Payment,309,Pro09,Susan Dean
5/9/2024,Christopher,Valencia,Male,Los Angeles,11/20/1958,Cash,180,Pro09,Katie Stanton
1/12/2024,Carlos,Gallegos,Male,San Antonio,1/26/1965,Cash,71,Pro02,Susan Dean
2/2/2024,Justin,Wilson,Male,Philadelphia,8/14/1996,Credit Card,92,Pro04,Susan Dean
6/19/2024,Pamela,Kramer,Other,New York,8/24/1969,Debit Card,170,Pro02,Sara R.son
5/15/2024,Ethan,Ford,Male,Chicago,11/28/1997,Debit Card,139,Pro03,Katie Stanton
3/10/2024,Danny,Armstrong,Other,Chicago,12/30/1995,Cash,150,Pro09,Susan Dean
5/5/2024,Nathaniel,Williams,Male,Dallas,9/23/1957,Mobile Payment,443,Pro07,Katie Stanton
1/13/2024,Steven,Reynolds,Male,Chicago,5/10/1987,Credit Card,39,Pro10,Susan Dean
1/28/2024,Tracy,Schmidt,Other,San Antonio,10/21/1949,Cash,376,Pro09,April Watkins
5/13/2024,Ana,Wallace,Male,Dallas,3/22/1946,Credit Card,150,Pro08,April Watkins
1/18/2024,Gerald,Calhoun,Other,Philadelphia,12/30/1987,Debit Card,326,Pro04,Elizabeth Guerrero
1/21/2024,Karen,Kramer,Male,Phoenix,3/7/1967,Mobile Payment,28,Pro09,Tracy Lee
1/21/2024,Tammy,Smith,Other,San Antonio,7/1/1982,Mobile Payment,444,Pro04,Sara R.son
3/12/2024,Andre,Lewis,Other,Los Angeles,12/7/1946,Cash,122,Pro02,Katie Stanton
7/6/2024,Logan,Miller,Male,San Antonio,5/1/1983,Cash,171,Pro03,Susan Dean
2/12/2024,Christina,Watts,Other,Philadelphia,11/29/2002,Credit Card,66,Pro10,Katie Stanton
2/26/2024,Richard,Mendoza,Male,Phoenix,11/21/2004,Cash,56,Pro04,Susan Dean
2/12/2024,Sabrina,Kramer,Other,Los Angeles,6/6/1948,Mobile Payment,318,Pro10,Susan Dean
4/27/2024,Karen,Fischer,Male,Dallas,7/30/1968,Mobile Payment,402,Pro08,Sara R.son
7/30/2024,Michelle,Juarez,Other,Los Angeles,7/11/1991,Debit Card,444,Pro07,Katie Stanton
3/30/2024,Daniel,Roberson,Male,San Diego,5/27/1972,Cash,357,Pro03,Susan Dean
6/21/2024,Candace,Odonnell,Other,San Jose,11/18/1977,Mobile Payment,329,Pro03,Katie Stanton
2/8/2024,Danielle,Palmer,Male,San Antonio,10/27/1963,Cash,332,Pro02,Susan Dean
7/2/2024,Michael,Livingston,Other,Philadelphia,4/28/1972,Credit Card,449,Pro04,April Watkins
7/9/2024,R.,Garcia,Male,San Jose,8/29/1957,Mobile Payment,29,Pro01,April Watkins
7/6/2024,Adrienne,Wilson,Other,San Jose,6/17/1963,Cash,70,Pro04,Elizabeth Guerrero
1/12/2024,Mark,Garcia,Male,Chicago,7/5/1976,Mobile Payment,271,Pro06,Tracy Lee
6/3/2024,Nicholas,Rogers,Other,Philadelphia,8/23/1951,Cash,186,Pro03,Sara R.son
2/8/2024,Alexandra,Potter,Other,Houston,5/17/1990,Debit Card,54,Pro07,Katie Stanton
5/7/2024,Diana,Hall,Male,Phoenix,10/17/2002,Mobile Payment,383,Pro10,Susan Dean
7/5/2024,Dawn,Daniels,Other,San Jose,5/2/1982,Credit Card,306,Pro06,Katie Stanton
4/30/2024,George,Brown,Other,San Antonio,11/29/1955,Cash,461,Pro01,Susan Dean
2/12/2024,Marilyn,Cunningham,Male,New York,6/10/1958,Debit Card,496,Pro05,Susan Dean
3/27/2024,Samantha,Howard,Other,Chicago,1/12/1962,Credit Card,42,Pro05,Sara R.son
5/14/2024,Nathan,Frazier,Other,Los Angeles,9/20/2003,Credit Card,136,Pro10,Katie Stanton
1/11/2024,Thomas,Richardson,Male,Chicago,8/29/1959,Debit Card,340,Pro05,Susan Dean
5/11/2024,Stephanie,Hawkins,Other,Houston,3/26/1962,Debit Card,94,Pro05,Katie Stanton
1/18/2024,Emma,Hoffman,Male,San Diego,1/11/2006,Cash,266,Pro02,Susan Dean
7/18/2024,Lisa,Austin,Other,San Jose,2/17/2005,Debit Card,125,Pro06,April Watkins
5/30/2024,Shannon,Thomas,Male,Los Angeles,12/16/1954,Mobile Payment,203,Pro02,April Watkins
3/6/2024,Luis,Sheppard,Other,Phoenix,7/13/2003,Mobile Payment,82,Pro03,Elizabeth Guerrero
1/10/2024,Sarah,May,Male,Philadelphia,12/3/1998,Debit Card,430,Pro10,Tracy Lee
6/14/2024,Andrea,Johns,Male,San Antonio,5/12/1984,Mobile Payment,329,Pro03,Sara R.son
5/27/2024,Gary,Frazier,Male,Houston,6/7/2003,Credit Card,463,Pro09,Katie Stanton
7/9/2024,Charlotte,Mueller,Male,Houston,10/5/1995,Cash,392,Pro05,Susan Dean
1/14/2024,James,Carter,Male,San Jose,8/21/1988,Credit Card,32,Pro10,Katie Stanton
6/22/2024,Katie,Rogers,Male,New York,12/13/1988,Debit Card,109,Pro05,Susan Dean
5/15/2024,Stephanie,Love,Male,Houston,11/21/1989,Cash,166,Pro05,Susan Dean
1/29/2024,Caitlin,Thomas,Male,San Antonio,6/9/2000,Cash,440,Pro04,Sara R.son
7/25/2024,Kathryn,Clark,Male,New York,11/12/1976,Credit Card,82,Pro10,Katie Stanton
4/9/2024,Brandon,Brown,Male,San Antonio,5/29/1981,Mobile Payment,187,Pro01,Susan Dean
4/19/2024,Anna,Hopkins,Male,Los Angeles,6/22/1945,Credit Card,173,Pro08,Katie Stanton
4/30/2024,Brian,Kelley,Male,San Jose,12/16/1949,Cash,385,Pro05,Susan Dean
3/30/2024,Tina,Collins,Male,San Jose,11/11/1992,Debit Card,78,Pro02,April Watkins
3/25/2024,Caitlyn,Sims,Male,Phoenix,8/11/1988,Mobile Payment,166,Pro02,April Watkins
2/13/2024,Maria,Hernandez,Female,San Diego,5/29/1994,Cash,483,Pro10,Elizabeth Guerrero
2/29/2024,Michael,Shaw,Male,Chicago,2/15/1999,Credit Card,252,Pro09,Tracy Lee
5/11/2024,R.,Cooper,Male,Houston,1/18/1994,Debit Card,145,Pro07,Sara R.son
5/22/2024,Justin,Weaver,Male,Phoenix,6/26/1984,Debit Card,318,Pro08,Katie Stanton
6/4/2024,Nicholas,Williams,Male,Los Angeles,5/28/1982,Cash,169,Pro09,Susan Dean
1/12/2024,Aaron,Young,Male,San Jose,6/13/1996,Credit Card,277,Pro06,Katie Stanton
1/28/2024,Jennifer,Williams,Female,Houston,7/2/1963,Mobile Payment,225,Pro02,Susan Dean
6/6/2024,Theresa,Duran,Male,San Antonio,9/20/1980,Cash,456,Pro10,Susan Dean
2/22/2024,Ronald,Romero,Male,Dallas,2/13/1968,Credit Card,136,Pro06,Sara R.son
4/21/2024,Emily,Holden,Male,New York,12/1/1993,Mobile Payment,266,Pro06,Katie Stanton
2/5/2024,Ian,Knight,Male,Chicago,11/10/1963,Mobile Payment,320,Pro04,Susan Dean
4/26/2024,Oscar,Wright,Male,Houston,8/28/1987,Mobile Payment,165,Pro01,Katie Stanton
4/22/2024,Kim,Butler,Male,Dallas,4/27/1957,Debit Card,247,Pro01,Susan Dean
6/21/2024,Deborah,Sanchez,Male,Houston,12/23/1954,Mobile Payment,360,Pro05,April Watkins
6/6/2024,Sarah,Ray,Male,Los Angeles,4/12/1978,Debit Card,182,Pro08,April Watkins
7/8/2024,Justin,Perry,Male,Dallas,7/24/1962,Credit Card,392,Pro10,Elizabeth Guerrero
1/17/2024,Amber,Stafford,Male,San Jose,1/21/1997,Debit Card,369,Pro06,Tracy Lee
3/8/2024,Stacie,Cox,Other,San Antonio,9/27/1972,Mobile Payment,346,Pro04,Sara R.son
4/28/2024,Randall,Medina,Male,Houston,11/7/1987,Cash,25,Pro07,Katie Stanton
6/22/2024,Daniel,Rojas,Other,Houston,5/13/1963,Credit Card,110,Pro08,Susan Dean
1/9/2024,Joseph,James,Other,Phoenix,8/11/1972,Cash,226,Pro02,Katie Stanton
6/23/2024,Jacob,White,Other,Phoenix,3/24/1977,Debit Card,399,Pro09,Susan Dean
7/26/2024,Brandon,Boone,Male,New York,8/12/1960,Cash,156,Pro05,Susan Dean
5/21/2024,Angela,Lewis,Other,Phoenix,11/8/1950,Debit Card,417,Pro08,Sara R.son
5/8/2024,Karen,Farley,Male,Chicago,9/8/1967,Mobile Payment,136,Pro05,Katie Stanton
7/10/2024,Meagan,Roman,Other,San Jose,7/7/1995,Credit Card,460,Pro02,Susan Dean
2/28/2024,Jessica,Lucas,Male,Chicago,8/2/1945,Debit Card,265,Pro10,Katie Stanton
1/31/2024,Adam,Marshall,Other,Los Angeles,9/25/1943,Cash,205,Pro09,Susan Dean
7/10/2024,Kevin,Beltran,Male,San Jose,9/15/1973,Mobile Payment,175,Pro01,April Watkins
2/12/2024,Eric,Taylor,Other,Houston,4/4/1947,Credit Card,59,Pro04,April Watkins
6/21/2024,Sara,Brown,Male,San Jose,6/2/1968,Credit Card,442,Pro01,Elizabeth Guerrero
6/6/2024,Evan,Ruiz,Other,New York,9/29/1991,Debit Card,271,Pro02,Tracy Lee
7/8/2024,Gabriel,Friedman,Male,Chicago,10/5/1965,Cash,104,Pro08,Sara R.son
1/2/2024,Rebecca,Larson,Other,Philadelphia,1/25/1961,Credit Card,209,Pro02,Katie Stanton
2/27/2024,Mandy,Lopez,Other,Phoenix,2/16/1962,Credit Card,149,Pro03,Susan Dean
7/18/2024,Lawrence,Jackson,Male,New York,6/18/1962,Cash,316,Pro06,Katie Stanton
1/5/2024,David,Barr,Other,New York,5/29/1984,Debit Card,104,Pro01,Susan Dean
7/10/2024,Jason,Johnson,Male,Phoenix,7/18/1978,Mobile Payment,384,Pro03,Susan Dean
7/29/2024,Vincent,Benson,Male,Houston,1/29/1951,Mobile Payment,431,Pro10,Sara R.son
5/17/2024,Raymond,Wade,Male,Philadelphia,12/17/1957,Credit Card,493,Pro09,Katie Stanton
3/4/2024,William,Harper,Male,San Antonio,3/9/1978,Credit Card,440,Pro10,Susan Dean
6/5/2024,Brandon,Lopez,Male,Chicago,1/10/2006,Mobile Payment,139,Pro09,Katie Stanton
5/3/2024,Alex,Rosario,Male,Chicago,3/16/1948,Mobile Payment,73,Pro02,Susan Dean
7/17/2024,Melissa,Smith,Male,San Diego,8/29/2000,Debit Card,216,Pro02,April Watkins
1/19/2024,Morgan,Wilson,Male,Phoenix,12/31/1952,Debit Card,490,Pro01,April Watkins
7/21/2024,Tamara,Edwards,Male,Phoenix,2/19/2005,Cash,485,Pro01,Elizabeth Guerrero
6/28/2024,Luke,Phillips,Male,Phoenix,2/15/1965,Debit Card,193,Pro05,Tracy Lee
1/20/2024,Gregory,Martinez,Male,Phoenix,11/30/1999,Cash,100,Pro10,Sara R.son
1/11/2024,Jason,Sullivan,Male,Los Angeles,11/26/1963,Cash,323,Pro09,Katie Stanton
7/12/2024,Linda,Garcia,Female,Houston,8/8/1956,Mobile Payment,321,Pro08,Susan Dean
4/17/2024,Heather,Cohen,Male,San Jose,12/8/1991,Credit Card,436,Pro06,Katie Stanton
6/28/2024,Audrey,Friedman,Male,San Jose,12/5/2003,Mobile Payment,260,Pro08,Susan Dean
5/14/2024,Lisa,Bishop,Male,Los Angeles,1/23/2006,Debit Card,434,Pro07,Susan Dean
7/30/2024,Justin,Weeks,Male,Philadelphia,4/25/1979,Debit Card,500,Pro09,Sara R.son
3/6/2024,Jamie,Chandler,Male,Phoenix,10/18/1948,Debit Card,385,Pro06,Katie Stanton
3/19/2024,Ann,Todd,Male,San Jose,10/21/1957,Debit Card,323,Pro06,Susan Dean
6/15/2024,Megan,Walker,Male,Dallas,6/24/1948,Mobile Payment,312,Pro04,Katie Stanton
5/30/2024,Ashley,Brown,Male,Philadelphia,8/1/1972,Credit Card,181,Pro03,Susan Dean
3/3/2024,Mitchell,Garcia,Male,Phoenix,3/24/1966,Debit Card,20,Pro10,April Watkins
4/26/2024,Shannon,Cannon,Male,Los Angeles,6/10/1982,Credit Card,245,Pro08,April Watkins
1/12/2024,Brian,Lucas,Male,Houston,6/28/1969,Mobile Payment,103,Pro03,Elizabeth Guerrero
7/3/2024,Stephen,Nash,Male,New York,1/30/2002,Debit Card,209,Pro03,Tracy Lee
7/2/2024,R.,Warren,Male,Philadelphia,11/22/1999,Cash,157,Pro04,Sara R.son
7/30/2024,Paula,Moore,Male,San Diego,8/3/1994,Mobile Payment,196,Pro10,Katie Stanton
6/6/2024,Nina,Armstrong,Male,San Jose,2/5/1978,Mobile Payment,381,Pro03,Susan Dean
7/17/2024,James,Duran,Male,Philadelphia,7/8/1983,Credit Card,188,Pro04,Katie Stanton
7/28/2024,Christopher,Oconnor,Male,Phoenix,10/11/1956,Mobile Payment,153,Pro05,Susan Dean
6/13/2024,Jillian,Lopez,Male,Dallas,12/12/1953,Credit Card,404,Pro08,Susan Dean
3/23/2024,William,Skinner,Male,New York,11/21/1963,Mobile Payment,263,Pro07,Sara R.son
6/22/2024,Maria,Holt,Female,Chicago,2/28/1946,Debit Card,298,Pro07,Katie Stanton
1/27/2024,Miranda,Bradford,Male,San Antonio,5/7/1976,Debit Card,67,Pro06,Susan Dean
7/28/2024,Laura,Parks,Male,Houston,11/19/1971,Debit Card,78,Pro07,Katie Stanton
7/25/2024,Linda,Gomez,Female,Dallas,10/12/1989,Debit Card,69,Pro04,Susan Dean
4/27/2024,Victoria,Rodriguez,Male,Houston,2/28/1983,Mobile Payment,335,Pro10,April Watkins
7/5/2024,Mary,Ramsey,Female,Philadelphia,10/28/1960,Debit Card,165,Pro05,April Watkins
3/2/2024,Patrick,Parker,Male,San Antonio,7/3/1978,Debit Card,78,Pro09,Elizabeth Guerrero
6/13/2024,John,Lynn,Male,New York,6/18/1995,Cash,359,Pro02,Tracy Lee
7/13/2024,Amanda,Coleman,Male,Houston,2/20/1998,Credit Card,263,Pro09,Sara R.son
7/8/2024,Rita,Jacobs,Male,Phoenix,6/19/1980,Debit Card,36,Pro09,Katie Stanton
6/22/2024,Kathryn,Carey,Male,Chicago,7/5/1953,Debit Card,120,Pro05,Susan Dean
1/11/2024,William,Solis,Male,San Jose,4/17/2002,Cash,471,Pro08,Katie Stanton
1/3/2024,Lawrence,Cruz,Male,Philadelphia,4/28/1972,Mobile Payment,75,Pro08,Susan Dean
7/11/2024,Julian,Gutierrez,Male,Chicago,1/14/1979,Credit Card,250,Pro02,Susan Dean
3/10/2024,Stephanie,Doyle,Male,Chicago,11/17/1991,Mobile Payment,77,Pro06,Sara R.son
2/7/2024,Timothy,Oconnor,Male,Philadelphia,4/8/1955,Cash,263,Pro08,Katie Stanton
2/14/2024,Rachel,Carson,Male,Dallas,2/14/1966,Debit Card,409,Pro01,Susan Dean
1/19/2024,David,Short,Male,Phoenix,7/8/2003,Credit Card,473,Pro09,Katie Stanton
1/23/2024,Keith,Hansen,Male,Chicago,5/14/1955,Debit Card,243,Pro07,Susan Dean
1/31/2024,Kelli,Bell,Male,Dallas,5/4/2004,Mobile Payment,39,Pro06,April Watkins
6/15/2024,Jared,Marsh,Male,Philadelphia,1/26/1949,Mobile Payment,137,Pro10,April Watkins
7/4/2024,Samuel,Nunez,Male,Houston,2/2/1984,Cash,464,Pro06,Elizabeth Guerrero
7/26/2024,Kenneth,Franklin,Male,Dallas,10/9/1988,Cash,383,Pro03,Tracy Lee
4/6/2024,Michael,Bryan,Male,Los Angeles,12/28/1970,Mobile Payment,119,Pro05,Sara R.son
5/5/2024,Rachel,Turner,Male,Phoenix,6/25/1953,Mobile Payment,209,Pro04,Katie Stanton
1/25/2024,Zachary,Williams,Male,Houston,4/21/1958,Debit Card,447,Pro05,Susan Dean
5/6/2024,Jason,Harris,Male,Los Angeles,11/1/1984,Cash,165,Pro09,Katie Stanton
1/4/2024,George,Stevens,Male,Philadelphia,11/26/1993,Credit Card,338,Pro10,Susan Dean
6/27/2024,Jonathan,Cisneros,Male,Houston,5/16/2003,Debit Card,49,Pro07,Susan Dean
7/6/2024,Michael,Willis,Male,New York,4/4/1961,Cash,459,Pro09,Sara R.son
5/26/2024,Paul,Williams,Male,Houston,10/8/1996,Credit Card,219,Pro07,Katie Stanton
7/28/2024,Sarah,Valdez,Male,San Jose,5/26/1955,Mobile Payment,450,Pro05,Susan Dean
6/28/2024,R.,King,Male,New York,11/22/1972,Credit Card,82,Pro04,Katie Stanton
2/6/2024,Thomas,Carter,Male,New York,6/8/1957,Debit Card,11,Pro06,Susan Dean
